"index","x","y","expected value"
"541","2.400928","0.674779","0.733866"
"542","2.278492","0.759862","0.733914"
"543","2.140298","0.842170","0.734113"
"544","2.076740","0.874718","0.734371"
"545","2.261285","0.770935","0.734438"
"546","2.032482","0.895303","0.734732"
"547","1.979534","0.917623","0.735066"
"548","1.786770","0.976768","0.735506"
"549","1.609553","0.999249","0.735986"
"550","1.613878","0.999072","0.736463"
"551","1.595841","0.999686","0.736940"
"552","1.639291","0.997655","0.737411"
"553","1.605062","0.999413","0.737884"
"554","1.692721","0.992576","0.738343"
"555","1.527518","0.999064","0.738812"
"556","1.565344","0.999985","0.739281"
"557","1.427689","0.989778","0.739730"
"558","1.554907","0.999874","0.740195"
"559","1.582408","0.999933","0.740659"
"560","1.577149","0.999980","0.741121"
"561","1.467208","0.994640","0.741572"
"562","1.530928","0.999205","0.742030"
"563","1.368026","0.979512","0.742451"
"564","1.424016","0.989247","0.742888"
"565","1.500524","0.997532","0.743338"
"566","1.344739","0.974558","0.743745"
"567","1.224896","0.940771","0.744092"
"568","1.292358","0.961486","0.744474"
"569","1.147844","0.911881","0.744768"
"570","1.099718","0.891079","0.745024"
"571","1.135147","0.906596","0.745307"
"572","1.112326","0.896730","0.745571"
"573","1.136679","0.907242","0.745853"
"574","1.203956","0.933465","0.746179"
"575","0.981377","0.831263","0.746327"
"576","1.013059","0.848455","0.746503"
"577","1.014360","0.849143","0.746681"
"578","1.067033","0.875772","0.746904"
"579","1.137264","0.907487","0.747181"
"580","1.217863","0.938363","0.747510"
"581","1.229746","0.942404","0.747845"
"582","1.248849","0.948621","0.748189"
"583","1.268549","0.954670","0.748543"
"584","1.423241","0.989134","0.748954"
"585","1.405192","0.986319","0.749359"
"586","1.421613","0.988893","0.749767"
"587","1.215639","0.937592","0.750087"
"588","1.260179","0.952145","0.750430"
"589","1.218776","0.938678","0.750749"
"590","1.182418","0.925525","0.751045"
"591","1.164761","0.918694","0.751328"
"592","1.194520","0.930040","0.751629"
"593","1.166003","0.919184","0.751911"
"594","1.101206","0.891754","0.752146"
"595","1.142874","0.909830","0.752411"
"596","1.094082","0.888508","0.752639"
"597","1.004701","0.844001","0.752791"
"598","0.941390","0.808377","0.752884"
"599","0.977927","0.829341","0.753012"
"600","1.034216","0.859462","0.753189"
"601","1.039333","0.862066","0.753370"
"602","1.005736","0.844556","0.753521"
"603","1.097902","0.890254","0.753747"
"604","1.097902","0.890254","0.753973"
"605","1.090800","0.886997","0.754192"
"606","0.981476","0.831319","0.754319"
"607","0.971558","0.825765","0.754437"
"608","0.989418","0.835707","0.754570"
"609","0.911241","0.790265","0.754629"
"610","1.091108","0.887139","0.754846"
"611","1.096164","0.889461","0.755066"
"612","0.975788","0.828144","0.755185"
"613","0.931642","0.802600","0.755262"
"614","0.974600","0.827478","0.755379"
"615","1.141620","0.909309","0.755629"
"616","1.141620","0.909309","0.755878"
"617","1.173603","0.922150","0.756147"
"618","1.191036","0.928753","0.756426"
"619","1.093578","0.888276","0.756639"
"620","1.128332","0.903699","0.756876"
"621","1.037927","0.861353","0.757044"
"622","1.031596","0.858120","0.757206"
"623","0.989966","0.836007","0.757332"
"624","0.892466","0.778621","0.757366"
"625","0.827708","0.736383","0.757333"
"626","0.876406","0.768444","0.757351"
"627","0.851154","0.752041","0.757342"
"628","0.867344","0.762614","0.757350"
"629","0.995957","0.839279","0.757480"
"630","1.090359","0.886793","0.757685"
"631","1.303701","0.964542","0.758013"
"632","1.225178","0.940866","0.758301"
"633","1.232865","0.943442","0.758594"
"634","1.237726","0.945043","0.758887"
"635","1.155246","0.914894","0.759132"
"636","1.251884","0.949577","0.759431"
"637","1.243409","0.946886","0.759725"
"638","1.258410","0.951603","0.760026"
"639","1.319988","0.968712","0.760352"
"640","1.339510","0.973372","0.760684"
"641","1.519591","0.998689","0.761055"
"642","1.475077","0.995422","0.761419"
"643","1.583095","0.999924","0.761790"
"644","1.546573","0.999707","0.762158"
"645","1.654175","0.996526","0.762521"
"646","1.698666","0.991836","0.762876"
"647","1.571109","1.000000","0.763242"
"648","1.549738","0.999778","0.763606"
"649","1.714308","0.989720","0.763954"
"650","1.691349","0.992742","0.764305"
"651","1.696118","0.992157","0.764655"
"652","1.819115","0.969327","0.764968"
"653","1.818571","0.969461","0.765281"
"654","2.065755","0.879988","0.765456"
"655","2.016595","0.902267","0.765665"
"656","2.194900","0.811487","0.765734"
"657","2.450636","0.637274","0.765539"
"658","2.458979","0.630823","0.765335"
"659","2.480554","0.613937","0.765105"
"660","2.471794","0.620828","0.764887"
"661","2.461691","0.628717","0.764681"
"662","2.427990","0.654562","0.764515"
"663","2.493355","0.603783","0.764273"
"664","2.493355","0.603783","0.764032"
"665","2.408144","0.669436","0.763890"
"666","2.292739","0.750524","0.763870"
"667","2.165309","0.828422","0.763966"
"668","2.191722","0.813340","0.764040"
"669","2.207995","0.803765","0.764099"
"670","2.207995","0.803765","0.764159"
"671","2.282886","0.756998","0.764148"
"672","2.337090","0.720486","0.764083"
"673","2.226668","0.792517","0.764125"
"674","2.105479","0.860430","0.764268"
"675","1.960233","0.925123","0.764506"
"676","2.051488","0.886675","0.764686"
"677","1.992904","0.912228","0.764904"
"678","1.874809","0.954143","0.765183"
"679","1.911315","0.942582","0.765443"
"680","1.943372","0.931393","0.765687"
"681","2.060791","0.882335","0.765858"
"682","2.112139","0.857017","0.765992"
"683","2.166998","0.827474","0.766082"
"684","2.120576","0.852640","0.766208"
"685","2.217570","0.798032","0.766254"
"686","2.237582","0.785814","0.766283"
"687","2.277730","0.760357","0.766274"
"688","2.383138","0.687800","0.766160"
"689","2.415473","0.663973","0.766012"
"690","2.304401","0.742766","0.765978"
"691","2.460356","0.629754","0.765782"
"692","2.497941","0.600120","0.765542"
"693","2.454347","0.634411","0.765354"
"694","2.240919","0.783746","0.765380"
"695","2.233219","0.788504","0.765413"
"696","2.302479","0.744051","0.765383"
"697","2.441975","0.643925","0.765209"
"698","2.287894","0.753716","0.765192"
"699","2.430755","0.652469","0.765031"
"700","2.585780","0.527633","0.764692"
"701","2.555194","0.553365","0.764391"
"702","2.573755","0.537810","0.764069"
"703","2.594368","0.520319","0.763723"
"704","2.517854","0.584074","0.763468"
"705","2.614542","0.502986","0.763099"
"706","2.742976","0.388144","0.762569"
"707","2.742976","0.388144","0.762040"
"708","2.507885","0.592136","0.761800"
"709","2.551911","0.556097","0.761511"
"710","2.417271","0.662627","0.761372"
"711","2.530638","0.573650","0.761108"
"712","2.608530","0.508174","0.760753"
"713","2.617740","0.500220","0.760388"
"714","2.650485","0.471603","0.759984"
"715","2.650485","0.471603","0.759582"
"716","2.771080","0.362094","0.759027"
"717","2.795860","0.338886","0.758442"
"718","2.810873","0.324724","0.757839"
"719","2.810873","0.324724","0.757237"
"720","2.810873","0.324724","0.756638"
"721","2.878026","0.260526","0.755951"
"722","2.997119","0.143971","0.755104"
"723","2.897250","0.241918","0.754395"
"724","2.900679","0.238590","0.753684"
"725","2.953558","0.186928","0.752903"
"726","2.952908","0.187567","0.752126"
"727","2.908657","0.230835","0.751410"
"728","2.952901","0.187574","0.750636"
"729","2.891598","0.247398","0.749947"
"730","2.766938","0.365951","0.749421"
"731","2.735888","0.394666","0.748937"
"732","2.733551","0.396812","0.748456"
